iteration,rmse,bias,rho.null,c.ov,k.exp,tau,eta.null
30,39.6627263573432,18.38326605107834,98.3626891753288,0.0005272889864560063,0.10499999999999998,0.03163731082467121,5818655.512335603
31,41.181593947512255,20.73716288730421,99.45499308819024,0.0005090839394467142,0.10499999999999998,0.03054500691180977,5272503.455904885
32,41.18159901464286,20.737170056658424,99.45500308819024,0.0005090839394467142,0.10499999999999998,0.03054500691180977,5272503.455904885
33,41.181594133667765,20.737163077289534,99.45499308819024,0.0005090839494467143,0.10499999999999998,0.03054500691180977,5272503.455904885
34,41.181593947512255,20.73716288730421,99.45499308819024,0.0005090839394467142,0.10500000099999998,0.03054500691180977,5272503.455904885
35,41.181593947512255,20.73716288730421,99.45499308819024,0.0005090839394467142,0.10499999999999998,0.03054500791180977,5272503.455904885
36,41.18159373189593,20.737162646836754,99.45499308819024,0.0005090839394467142,0.10499999999999998,0.03054500691180977,5272503.555904886
37,41.779780543380014,21.648196588333334,99.81858301267086,0.0005030241134318695,0.10499999999999998,0.03018141698732916,5090708.4936645795
38,41.77978562009053,21.648203619924455,99.81859301267085,0.0005030241134318695,0.10499999999999998,0.03018141698732916,5090708.4936645795
39,41.779780732511085,21.648196777354602,99.81858301267086,0.0005030241234318696,0.10499999999999998,0.03018141698732916,5090708.4936645795
40,41.779780543380014,21.648196588333334,99.81858301267086,0.0005030241134318695,0.10500000099999998,0.03018141698732916,5090708.4936645795
41,41.779780543380014,21.648196588333334,99.81858301267086,0.0005030241134318695,0.10499999999999998,0.030181417987329158,5090708.4936645795
42,41.779780314112536,21.64819633751424,99.81858301267086,0.0005030241134318695,0.10499999999999998,0.03018141698732916,5090708.59366458
43,41.97935624402334,21.944879189982522,99.93961141823954,0.000501006975356198,0.10499999999999998,0.030060388581760463,5030194.290880232
44,41.97936131774707,21.944886195252636,99.93962141823954,0.000501006975356198,0.10499999999999998,0.030060388581760463,5030194.290880232
45,41.979356430531816,21.944879377226684,99.93961141823954,0.000501006985356198,0.10499999999999998,0.030060388581760463,5030194.290880232
46,41.97935624402334,21.944879189982522,99.93961141823954,0.000501006975356198,0.10500000099999998,0.030060388581760463,5030194.290880232
47,41.97935624402334,21.944879189982522,99.93961141823954,0.000501006975356198,0.10499999999999998,0.030060389581760463,5030194.290880232
48,41.97935601239731,21.944878936722375,99.93961141823954,0.000501006975356198,0.10499999999999998,0.030060388581760463,5030194.390880233
49,42.07228645456407,22.071016875959977,99.97989815788,0.0005003355303669694,0.10499999999999998,0.030020101842120013,5010050.921060005
50,42.072291533013356,22.071023776177654,99.97990815787999,0.0005003355303669694,0.10499999999999998,0.030020101842120013,5010050.921060005
51,42.072286646101276,22.071017063767044,99.97989815788,0.0005003355403669695,0.10499999999999998,0.030020101842120013,5010050.921060005
52,42.07228645456407,22.071016875959977,99.97989815788,0.0005003355303669694,0.10500000099999998,0.030020101842120013,5010050.921060005
53,42.07228645456407,22.071016875959977,99.97989815788,0.0005003355303669694,0.10499999999999998,0.030020102842120013,5010050.921060005
